PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
Kepler-1421 b,Kepler-1421,1,1,Transit,2016,Kepler,0,6.9131732,0.0762,0.0,1209.0,6296.0,0.07,4.21,286.5806115,48.5442312,783.401,12.7261,2.4560168801245466e+30,2.445855e+30,5797.610000000001,1001808.0,4876846387109.231,4.2115513053698586e+18,580749187806.7493
Kepler-1422 b,Kepler-1422,1,1,Transit,2016,Kepler,0,18.6051942,0.1505,0.0,857.0,6616.0,0.07,4.33,293.8902214,48.3360926,2465.84,15.6194,2.612536660600348e+30,2.6049350000000003e+30,13442.81,904410.0,964912641755.5488,3.098736703846229e+18,840644187925.5796
Kepler-1422 b,Kepler-1422,1,1,Transit,2016,Kepler,0,18.6052046,0.1499,0.0,833.0,6572.0,0.07,4.37,293.8902214,48.3360926,2465.84,15.6194,2.581411893391675e+30,2.5850500000000003e+30,12359.74,862668.0,1127831863966.0981,2.689178775254489e+18,961278596940.9436
Kepler-1424 b,Kepler-1424,1,1,Transit,2016,Kepler,0,29.6091744,0.1781,0.0,542.0,5850.0,-0.52,4.58,290.9916648,40.2293347,661.421,13.5925,1.7094660142341825e+30,1.7101099999999998e+30,5733.900000000001,549603.0,3470291573188.0254,6.954019325114433e+17,2459167741774.8027
Kepler-1424 b,Kepler-1424,1,1,Transit,2016,Kepler,0,29.6099055,0.1861,0.0,629.0,5812.0,0.0,4.33,290.9916648,40.2293347,661.421,13.5925,1.9502324813893542e+30,1.94873e+30,11085.539999999999,779184.0000000001,1059201049286.2676,1.9815666635690836e+18,983428938237.2126
Kepler-1425 b,Kepler-1425,1,1,Transit,2016,Kepler,0,14.4541302,0.1038,0.0,676.0,5559.0,-0.64,4.5,294.9510368,43.0124348,863.873,13.5629,1.4201343897001038e+30,1.411835e+30,5033.09,549603.0,3741672527803.1523,6.954019325114433e+17,2030243135651.2908
Kepler-1425 b,Kepler-1425,1,1,Transit,2016,Kepler,0,14.4540329,0.1038,0.0,676.0,5559.0,-0.64,4.5,294.9510368,43.0124348,863.873,13.5629,1.4201535095598914e+30,1.411835e+30,4587.12,549603.0,4504647500138.848,6.954019325114433e+17,2030243135651.2908
Kepler-1426 b,Kepler-1426,1,1,Transit,2016,Kepler,0,14.2563227,0.1187,0.0,794.0,6131.0,-0.04,4.46,292.5457096,49.4168981,1697.81,15.1663,2.183023600882407e+30,2.167465e+30,9683.92,709614.0,1553680691499.0522,1.4967702230383475e+18,1448094681894.583
Kepler-1426 b,Kepler-1426,1,1,Transit,2016,Kepler,0,14.2563272,0.1187,0.0,797.0,6140.0,-0.04,4.46,292.5457096,49.4168981,1697.81,15.1663,2.1830222227427906e+30,2.167465e+30,11021.83,716571.0,1199379064958.7676,1.5412258817404547e+18,1406325332113.1323
Kepler-1428 b,Kepler-1428,1,1,Transit,2016,Kepler,0,10.67607169,0.0995,0.0,1141.0,6409.0,-0.22,4.08,297.6422563,49.594958,1530.32,13.5234,2.2928074704748544e+30,2.2867749999999999e+30,12423.449999999999,1127034.0,991491233977.3871,5.996525198466067e+18,381350019271.9886
